State,2005,2010,2015,2020,2023
NY,320312,439514,395500,480347,602236
CA,354098,500757,443900,626101,864958
IL,197090,234585,185638,232818,293573
TX,138425,152773,159478,240776,353493
TX,133107,151978,158332,213454,290996
DC,267693,377111,348278,415825,527099
PA,160888,231480,205598,239621,322909
FL,166630,234053,179020,278323,416069
GA,170161,177333,149146,223925,347834
MA,319726,360891,352642,470993,622901
AZ,175036,227247,175649,267933,434693
CA,444577,563937,562987,894397,1144225
CA,214072,289122,232774,354965,530544
MI,147596,127698,104555,167361,231312
WA,268415,370689,303948,478643,697534
MN,203403,230312,203587,278470,364887
CA,358647,439573,403009,575966,825226
FL,136985,183657,137335,212145,343620
CO,234016,243298,260161,405232,567337
MD,189153,288087,250116,286176,359165
MO,137704,163528,144430,172584,229747
FL,153153,209100,151626,233187,355332
NC,154844,171811,159235,220621,346002
TX,118249,144757,149792,200572,281738
OR,202791,287483,259949,396244,535955
CA,274105,328124,266677,407197,566620
PA,98498,118551,127316,153945,200239
OH,143452,154546,142633,180723,257003
TX,183112,202345,220601,308291,487792
NV,209678,243275,161038,265000,395929
MO,132621,151284,143868,194555,277180
OH,141787,151079,142470,192947,281017
OH,134890,138856,121292,149128,204190
CA,512938,608465,646216,1054550,1425754
TN,153763,183433,182225,273014,409936
VA,150743,240797,215813,240132,314158
RI,217547,277539,236200,300409,423850
FL,146623,198882,153236,215746,332647
WI,175747,213223,184084,230115,306710
OK,104877,128037,133106,156858,213922
NC,185610,215601,208921,272340,407731
TN,122229,127676,114417,148545,224634
VA,153912,215561,191693,237435,329694
KY,126063,140947,137907,175210,237771
LA,159040,207497,196629,223477,266751
UT,186857,233863,226134,335085,522752
CT,194790,252381,218263,231840,304052
NY,98355,120901,129119,163139,232331
AL,127880,150346,140576,171344,241128
NY,114228,132533,131191,155502,216062
MI,138786,142342,138827,202838,294434
AZ,151139,206113,160426,211196,325180
HI,302901,504126,511795,655632,836285
OK,113857,129008,128189,151860,213713
CA,164028,231425,171001,252258,363896
MA,236668,273360,224705,280391,396100
NE,133044,149805,146499,186991,263442
CT,366510,458386,386853,415715,536808
SC,126384,143737,141193,183163,266059
CA,134713,200196,151016,217650,316304
NY,145718,212436,202236,226370,296617
TN,117368,149454,145829,181269,288598
CT,200988,267593,214887,226696,313798
TX,98714,131711,125215,135969,188780
PA,150564,215075,184445,208774,291934
CA,404083,523911,443845,596456,793625
SC,123092,145417,134841,156612,223394
FL,182479,233226,184878,263719,415989
SC,165010,217323,195388,264749,382047
NC,119903,132701,124174,154730,227516
CA,258525,290322,212959,361711,519938
FL,175387,218342,159095,232223,362867
CO,192039,219710,216582,303938,449615
AR,119277,147513,146773,160622,204356
FL,110843,153942,113962,178311,288175
OH,122270,130017,117529,143605,195854
IA,135644,154710,154968,202108,260228
MA,163748,217868,199232,229997,311296
UT,170495,203246,195764,290735,471879
WI,177024,219040,212342,273269,367100
NC,128557,145809,135050,160502,236579
FL,136296,186183,132940,202596,319134
NY,94122,122082,123391,141311,194857
OH,101205,107426,97237,124662,168080
NC,178415,204620,191163,246947,374120
GA,103653,131510,123504,146436,211918
FL,144198,188233,131850,208715,326723
PA,133353,174495,170557,190078,252570
WA,135896,194548,168946,241401,399908
PA,99282,130480,124706,135732,186249
TN,129692,153852,144907,182295,271086
CA,234302,266012,182188,305769,440393
ME,197684,253263,234119,300566,456901
OH,90737,94875,83193,99047,140043
